ts,equity,cash,daily_pl,ret_pct,n_orders,a_AAPL,a_MSFT,a_AMZN,a_GOOGL,a_META,a_NVDA,a_T,a_JPM,a_MA,a_UNH,a_JNJ,a_SPY,a_QQQ,a_IVV,a_EEM,a_EFA,a_XLF,a_VNQ,a_GLD,a_SLV,a_USO,a_TLT,a_BND,a_IEF,a_XLE,a_XOM,a_CVX,a_WMT,a_NFLX,a_BA,a_KO,a_PFE,a_SHOP,pos_AAPL,pos_MSFT,pos_AMZN,pos_GOOGL,pos_META,pos_NVDA,pos_T,pos_JPM,pos_MA,pos_UNH,pos_JNJ,pos_SPY,pos_QQQ,pos_IVV,pos_EEM,pos_EFA,pos_XLF,pos_VNQ,pos_GLD,pos_SLV,pos_USO,pos_TLT,pos_BND,pos_IEF,pos_XLE,pos_XOM,pos_CVX,pos_WMT,pos_NFLX,pos_BA,pos_KO,pos_PFE,pos_SHOP,Thm_Stress,Thm_Efficiency,Thm_Regime,Thm_Pressure
2026-04-07T12:48:00+00:00,99.9,0.0,0.0,0.0,20,1.0,0.9977,-1.0,0.9836,-0.8552,1.0,0.9991,0.9803,-0.346,1.0,1.0,0.9999,1.0,1.0,-0.996,1.0,0.9871,1.0,0.9706,1.0,1.0,0.5351,1.0,0.9991,1.0,0.9993,1.0,-0.9897,0.9923,0.9988,-1.0,0.9919,1.0,5.0,5.0,0.0,5.0,0.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,4.99,5.0,5.0,4.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4353,0.0,0.0,-0.3727
2026-04-07T12:50:00+00:00,99.86,0.01,0.0,-0.0442,2,1.0,0.986,-1.0,0.9972,-0.9742,1.0,0.9994,0.9185,0.359,1.0,1.0,0.9986,1.0,1.0,-0.9998,1.0,1.0,1.0,0.9755,1.0,1.0,-0.2902,1.0,0.9606,0.9935,0.9995,1.0,-0.9978,0.8319,0.7611,-0.9998,0.9984,1.0,5.0,5.0,0.0,5.0,0.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,4.95,4.99,3.55,5.0,4.99,1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4614,0.0,0.0,-0.3009
2026-04-07T12:52:00+00:00,99.87,0.01,0.0,-0.0315,0,1.0,0.9877,-1.0,0.9967,-0.9786,1.0,0.9994,0.9114,0.2188,1.0,1.0,0.9982,1.0,1.0,-0.9998,1.0,1.0,1.0,0.9617,1.0,1.0,-0.2753,1.0,0.9624,0.9943,0.9995,1.0,-0.997,0.7466,0.8682,-0.9997,0.9974,1.0,5.0,5.0,0.0,5.0,0.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,4.95,4.99,3.55,5.0,4.99,1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5525,0.0,0.0,0.6876
2026-04-07T12:54:00+00:00,99.9,0.01,0.0,-0.0033,0,1.0,0.9884,-1.0,0.9966,-0.9771,1.0,0.9994,0.9112,0.1981,1.0,1.0,0.9982,1.0,1.0,-0.9997,1.0,1.0,1.0,0.9614,1.0,1.0,-0.2715,1.0,0.9629,0.9949,0.9995,1.0,-0.9969,0.754,0.8774,-0.9998,0.9973,1.0,5.0,5.0,0.0,5.0,0.0,4.99,5.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,4.98,4.99,3.55,5.0,4.99,1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7226,0.0,0.0,0.6689
2026-04-07T12:56:00+00:00,99.9,0.01,0.0,-0.0001,0,1.0,0.9873,-1.0,0.9967,-0.9777,1.0,0.9994,0.9132,0.2168,1.0,1.0,0.9982,1.0,1.0,-0.9998,1.0,1.0,1.0,0.9635,1.0,1.0,-0.2761,1.0,0.9639,0.9942,0.9995,1.0,-0.997,0.7494,0.8631,-0.9997,0.9975,1.0,5.0,5.0,0.0,5.0,0.0,4.99,5.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,4.98,4.99,3.55,5.0,4.99,1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5815,0.0,0.0,0.6689
2026-04-07T13:00:00+00:00,99.88,0.01,0.0,-0.0249,2,1.0,0.9856,-1.0,0.997,-0.976,1.0,0.9994,0.919,0.3308,1.0,1.0,0.9985,1.0,1.0,-0.9998,1.0,1.0,1.0,0.9736,1.0,1.0,-0.2869,1.0,0.9632,0.9934,0.9995,1.0,-0.9977,0.8122,0.7832,-0.9998,0.9983,1.0,5.0,5.0,0.0,5.0,0.0,4.99,5.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,4.98,4.98,2.53,5.0,4.99,2.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5872,0.0,0.0,-0.0399
2026-04-07T13:02:00+00:00,99.87,0.01,0.0,-0.0312,0,1.0,0.9864,-1.0,0.9967,-0.9792,1.0,0.9994,0.9153,0.2406,1.0,1.0,0.9982,1.0,1.0,-0.9998,1.0,1.0,1.0,0.9648,1.0,1.0,-0.2806,1.0,0.9645,0.9935,0.9995,1.0,-0.9972,0.7477,0.8493,-0.9997,0.9976,1.0,5.0,5.0,0.0,5.0,0.0,4.99,5.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,4.98,4.97,2.53,5.0,4.99,2.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2924,0.0,0.0,0.6689
2026-04-07T13:06:00+00:00,99.87,0.01,0.0,-0.0253,0,1.0,0.9888,-1.0,0.9965,-0.9778,1.0,0.9994,0.908,0.1478,1.0,1.0,0.998,1.0,1.0,-0.9997,1.0,1.0,1.0,0.9562,1.0,1.0,-0.2661,1.0,0.963,0.9948,0.9995,1.0,-0.9966,0.722,0.8952,-0.9997,0.9968,1.0,5.0,5.0,0.0,5.0,0.0,4.99,5.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,4.98,4.97,2.53,5.0,4.99,2.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1442,0.0,0.0,1.0
2026-04-07T13:08:00+00:00,99.89,0.01,0.0,-0.0138,0,1.0,0.9888,-1.0,0.9965,-0.9777,1.0,0.9994,0.9087,0.1484,1.0,1.0,0.9981,1.0,1.0,-0.9997,1.0,1.0,1.0,0.9564,1.0,1.0,-0.2658,1.0,0.9634,0.9949,0.9995,1.0,-0.9966,0.7236,0.895,-0.9997,0.9969,1.0,5.0,5.0,0.0,5.0,0.0,4.99,5.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,4.99,4.97,2.53,5.0,4.99,2.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1354,0.0,0.0,1.0
2026-04-07T13:10:00+00:00,99.89,0.01,0.0,-0.0142,0,1.0,0.9879,-1.0,0.9965,-0.9786,1.0,0.9994,0.9105,0.1698,1.0,1.0,0.9981,1.0,1.0,-0.9998,1.0,1.0,1.0,0.958,1.0,1.0,-0.2707,1.0,0.9644,0.9943,0.9995,1.0,-0.9967,0.7197,0.8853,-0.9997,0.9971,1.0,5.0,5.0,0.0,5.0,0.0,4.99,5.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,4.99,4.97,2.53,5.0,4.99,2.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9362,0.0,0.0,1.0
