date,portfolio_value,cash,AAPL_shares,AAPL_price,AAPL_avg_cost,AAPL_value,AAPL_unrealized_pnl,MSFT_shares,MSFT_price,MSFT_avg_cost,MSFT_value,MSFT_unrealized_pnl,AMZN_shares,AMZN_price,AMZN_avg_cost,AMZN_value,AMZN_unrealized_pnl,GOOGL_shares,GOOGL_price,GOOGL_avg_cost,GOOGL_value,GOOGL_unrealized_pnl,META_shares,META_price,META_avg_cost,META_value,META_unrealized_pnl,NVDA_shares,NVDA_price,NVDA_avg_cost,NVDA_value,NVDA_unrealized_pnl,TSLA_shares,TSLA_price,TSLA_avg_cost,TSLA_value,TSLA_unrealized_pnl,JPM_shares,JPM_price,JPM_avg_cost,JPM_value,JPM_unrealized_pnl,V_shares,V_price,V_avg_cost,V_value,V_unrealized_pnl,MA_shares,MA_price,MA_avg_cost,MA_value,MA_unrealized_pnl,UNH_shares,UNH_price,UNH_avg_cost,UNH_value,UNH_unrealized_pnl,JNJ_shares,JNJ_price,JNJ_avg_cost,JNJ_value,JNJ_unrealized_pnl,LDO.MI_shares,LDO.MI_price,LDO.MI_avg_cost,LDO.MI_value,LDO.MI_unrealized_pnl,ENI.MI_shares,ENI.MI_price,ENI.MI_avg_cost,ENI.MI_value,ENI.MI_unrealized_pnl,ENEL.MI_shares,ENEL.MI_price,ENEL.MI_avg_cost,ENEL.MI_value,ENEL.MI_unrealized_pnl,ISP.MI_shares,ISP.MI_price,ISP.MI_avg_cost,ISP.MI_value,ISP.MI_unrealized_pnl,RACE.MI_shares,RACE.MI_price,RACE.MI_avg_cost,RACE.MI_value,RACE.MI_unrealized_pnl,^GSPC_shares,^GSPC_price,^GSPC_avg_cost,^GSPC_value,^GSPC_unrealized_pnl,^IXIC_shares,^IXIC_price,^IXIC_avg_cost,^IXIC_value,^IXIC_unrealized_pnl,FTSEMIB.MI_shares,FTSEMIB.MI_price,FTSEMIB.MI_avg_cost,FTSEMIB.MI_value,FTSEMIB.MI_unrealized_pnl,SPY_shares,SPY_price,SPY_avg_cost,SPY_value,SPY_unrealized_pnl,QQQ_shares,QQQ_price,QQQ_avg_cost,QQQ_value,QQQ_unrealized_pnl,IVV_shares,IVV_price,IVV_avg_cost,IVV_value,IVV_unrealized_pnl,EEM_shares,EEM_price,EEM_avg_cost,EEM_value,EEM_unrealized_pnl,EFA_shares,EFA_price,EFA_avg_cost,EFA_value,EFA_unrealized_pnl,XLF_shares,XLF_price,XLF_avg_cost,XLF_value,XLF_unrealized_pnl,VNQ_shares,VNQ_price,VNQ_avg_cost,VNQ_value,VNQ_unrealized_pnl,GC=F_shares,GC=F_price,GC=F_avg_cost,GC=F_value,GC=F_unrealized_pnl,CL=F_shares,CL=F_price,CL=F_avg_cost,CL=F_value,CL=F_unrealized_pnl,SI=F_shares,SI=F_price,SI=F_avg_cost,SI=F_value,SI=F_unrealized_pnl,NG=F_shares,NG=F_price,NG=F_avg_cost,NG=F_value,NG=F_unrealized_pnl,HG=F_shares,HG=F_price,HG=F_avg_cost,HG=F_value,HG=F_unrealized_pnl,GLD_shares,GLD_price,GLD_avg_cost,GLD_value,GLD_unrealized_pnl,SLV_shares,SLV_price,SLV_avg_cost,SLV_value,SLV_unrealized_pnl,USO_shares,USO_price,USO_avg_cost,USO_value,USO_unrealized_pnl,EURUSD=X_shares,EURUSD=X_price,EURUSD=X_avg_cost,EURUSD=X_value,EURUSD=X_unrealized_pnl,USDJPY=X_shares,USDJPY=X_price,USDJPY=X_avg_cost,USDJPY=X_value,USDJPY=X_unrealized_pnl,TLT_shares,TLT_price,TLT_avg_cost,TLT_value,TLT_unrealized_pnl,BND_shares,BND_price,BND_avg_cost,BND_value,BND_unrealized_pnl,IEF_shares,IEF_price,IEF_avg_cost,IEF_value,IEF_unrealized_pnl,XLE_shares,XLE_price,XLE_avg_cost,XLE_value,XLE_unrealized_pnl,BTC-USD_shares,BTC-USD_price,BTC-USD_avg_cost,BTC-USD_value,BTC-USD_unrealized_pnl,ETH-USD_shares,ETH-USD_price,ETH-USD_avg_cost,ETH-USD_value,ETH-USD_unrealized_pnl,XOM_shares,XOM_price,XOM_avg_cost,XOM_value,XOM_unrealized_pnl,CVX_shares,CVX_price,CVX_avg_cost,CVX_value,CVX_unrealized_pnl,WMT_shares,WMT_price,WMT_avg_cost,WMT_value,WMT_unrealized_pnl,NFLX_shares,NFLX_price,NFLX_avg_cost,NFLX_value,NFLX_unrealized_pnl,BA_shares,BA_price,BA_avg_cost,BA_value,BA_unrealized_pnl,KO_shares,KO_price,KO_avg_cost,KO_value,KO_unrealized_pnl,PFE_shares,PFE_price,PFE_avg_cost,PFE_value,PFE_unrealized_pnl,SHOP_shares,SHOP_price,SHOP_avg_cost,SHOP_value,SHOP_unrealized_pnl
2024-01-31,100.48,36.16,0.0,184.9388,0.0,0.0,0.0,0.002789,396.9421,390.8472,1.11,0.02,0.021919,159.28,155.2,3.49,0.09,0.0,140.0029,0.0,0.0,0.0,0.0,391.7061,0.0,0.0,0.0,0.0,62.9885,0.0,0.0,0.0,0.010866,188.86,187.29,2.05,0.02,0.01242,166.4346,167.0381,2.07,-0.01,0.011778,272.4474,268.7205,3.21,0.04,0.0,455.6849,0.0,0.0,0.0,0.0,483.5616,0.0,0.0,0.0,0.022783,148.1535,148.6587,3.38,-0.01,0.114169,15.6406,15.8262,1.79,-0.02,0.238675,12.8869,12.9008,3.08,-0.0,0.0,5.5004,0.0,0.0,0.0,0.0,2.4021,0.0,0.0,0.0,0.009197,348.5523,319.1694,3.21,0.27,0.000179,4906.1899,4845.6504,0.88,0.01,0.0,15361.6406,0.0,0.0,0.0,9.6e-05,30689.0,30744.0,2.94,-0.01,0.005483,477.3982,471.2307,2.62,0.03,0.0,417.2715,0.0,0.0,0.0,0.005512,477.5921,471.3362,2.63,0.03,0.071555,36.963,36.6101,2.64,0.03,0.036002,70.9145,70.2217,2.55,0.02,0.0,37.695,0.0,0.0,0.0,0.030964,79.0435,77.6368,2.45,0.04,0.001044,2053.0,2048.3999,2.14,0.0,0.0,73.82,0.0,0.0,0.0,0.088668,23.13,23.051,2.05,0.01,0.99123,2.05,2.1,2.03,-0.05,0.306018,3.8525,3.9025,1.18,-0.02,0.010955,190.41,188.45,2.09,0.02,0.0,21.21,0.0,0.0,0.0,0.025193,69.07,70.92,1.74,-0.05,1.236332,1.0804,1.0843,1.34,-0.0,0.01256,146.996,147.369,1.85,-0.0,0.0,89.9893,0.0,0.0,0.0,0.024682,68.0942,67.6857,1.68,0.01,0.010717,89.6462,89.0943,0.96,0.01,0.0,39.0569,0.0,0.0,0.0,2.6e-05,43075.7734,42582.6055,1.14,0.01,0.000299,2303.8247,2282.5444,0.69,0.01,0.016175,94.8749,95.2641,1.53,-0.01,0.00813,134.1878,133.7704,1.09,0.0,0.000363,54.9132,53.9148,0.02,0.0,0.024658,56.751,56.411,1.4,0.01,0.0,209.81,0.0,0.0,0.0,0.022962,57.0845,55.6897,1.31,0.03,0.0,23.9425,0.0,0.0,0.0,0.0,76.72,0.0,0.0,0.0
2024-02-01,100.54,13.08,0.0,183.9392,0.0,0.0,0.0,0.003782,404.2562,392.4475,1.53,0.04,0.029643,171.81,156.2631,5.09,0.46,0.0,141.2129,0.0,0.0,0.0,0.0,471.2915,0.0,0.0,0.0,0.0,66.1196,0.0,0.0,0.0,0.014764,187.91,187.7044,2.77,0.0,0.016928,167.3926,166.8774,2.83,0.01,0.015979,272.5753,269.7003,4.36,0.05,0.0,455.3488,0.0,0.0,0.0,0.0,486.5081,0.0,0.0,0.0,0.03105,146.5163,148.5242,4.55,-0.06,0.155947,15.6211,15.7765,2.44,-0.02,0.32508,12.7022,12.8971,4.13,-0.06,0.0,5.4809,0.0,0.0,0.0,0.0,2.3995,0.0,0.0,0.0,0.012242,342.6363,326.4788,4.19,0.2,0.000243,4958.6104,4861.5815,1.2,0.02,0.0,15628.9502,0.0,0.0,0.0,0.00013,30718.0,30729.375,4.01,-0.0,0.00744,482.4239,472.853,3.59,0.07,0.0,424.3236,0.0,0.0,0.0,0.007479,482.5172,472.9816,3.61,0.07,0.097185,36.8581,36.7032,3.58,0.02,0.048894,70.3528,70.4044,3.44,-0.0,0.0,37.8504,0.0,0.0,0.0,0.041962,78.0625,78.0055,3.28,0.0,0.001421,2036.0999,2049.6196,2.89,-0.02,0.0,72.28,0.0,0.0,0.0,0.120624,22.701,23.0719,2.74,-0.04,1.358427,2.079,2.0865,2.82,-0.01,0.418125,3.8215,3.8891,1.6,-0.03,0.014876,188.61,188.9666,2.81,-0.01,0.0,20.75,0.0,0.0,0.0,0.034548,67.51,70.4191,2.33,-0.1,1.685077,1.0875,1.0833,1.83,0.01,0.017114,146.451,147.2698,2.51,-0.01,0.0,88.0016,0.0,0.0,0.0,0.033554,67.4841,67.7937,2.26,-0.01,0.014569,88.4795,89.2402,1.29,-0.01,0.0,39.1131,0.0,0.0,0.0,3.6e-05,43185.8594,42712.4766,1.55,0.02,0.000406,2308.0381,2288.1587,0.94,0.01,0.022048,94.4857,95.1604,2.08,-0.01,0.011061,138.1348,133.881,1.53,0.05,0.000492,55.3243,54.1766,0.03,0.0,0.033522,56.464,56.5009,1.89,-0.0,0.0,209.38,0.0,0.0,0.0,0.031063,56.6726,56.0534,1.76,0.02,0.0,23.6266,0.0,0.0,0.0,0.0,82.93,0.0,0.0,0.0
2024-02-02,100.52,4.73,0.0,183.9392,0.0,0.0,0.0,0.004135,404.2562,393.4546,1.67,0.04,0.032232,171.81,157.512,5.54,0.46,0.0,141.2129,0.0,0.0,0.0,0.0,471.2915,0.0,0.0,0.0,0.0,66.1196,0.0,0.0,0.0,0.01618,187.91,187.7224,3.04,0.0,0.018549,167.3926,166.9224,3.1,0.01,0.017497,272.5753,269.9498,4.77,0.05,0.0,455.3488,0.0,0.0,0.0,0.0,486.5081,0.0,0.0,0.0,0.034073,146.5163,148.3461,4.99,-0.06,0.171074,15.6211,15.7627,2.67,-0.02,0.356781,12.7022,12.8798,4.53,-0.06,0.0,5.4809,0.0,0.0,0.0,0.0,2.3995,0.0,0.0,0.0,0.013363,342.6363,327.8335,4.58,0.2,0.000266,4958.6104,4869.9307,1.32,0.02,0.0,15628.9502,0.0,0.0,0.0,0.000143,30718.0,30728.377,4.39,-0.0,0.008141,482.4239,473.6765,3.93,0.07,0.0,424.3236,0.0,0.0,0.0,0.008183,482.5172,473.8022,3.95,0.07,0.10648,36.8581,36.7167,3.92,0.02,0.053594,70.3528,70.3998,3.77,-0.0,0.0,37.8504,0.0,0.0,0.0,0.045989,78.0625,78.0105,3.59,0.0,0.001558,2036.0999,2048.4277,3.17,-0.02,0.0,72.28,0.0,0.0,0.0,0.132398,22.701,23.0389,3.01,-0.04,1.489364,2.079,2.0858,3.1,-0.01,0.458996,3.8215,3.8831,1.75,-0.03,0.016307,188.61,188.9353,3.08,-0.01,0.0,20.75,0.0,0.0,0.0,0.038009,67.51,70.1542,2.57,-0.1,1.846303,1.0875,1.0837,2.01,0.01,0.018767,146.451,147.1976,2.75,-0.01,0.0,88.0016,0.0,0.0,0.0,0.036791,67.4841,67.7665,2.48,-0.01,0.015981,88.4795,89.173,1.41,-0.01,0.0,39.1131,0.0,0.0,0.0,3.9e-05,42992.25,42753.5391,1.69,0.01,0.000444,2296.0383,2289.8875,1.02,0.0,0.024181,94.4857,95.1009,2.28,-0.01,0.012091,138.1348,134.2433,1.67,0.05,0.000538,55.3243,54.2754,0.03,0.0,0.036744,56.464,56.4977,2.07,-0.0,0.0,209.38,0.0,0.0,0.0,0.034014,56.6726,56.1071,1.93,0.02,0.0,23.6266,0.0,0.0,0.0,0.0,82.93,0.0,0.0,0.0
2024-02-03,100.5,1.71,0.0,183.9392,0.0,0.0,0.0,0.004262,404.2562,393.7778,1.72,0.04,0.033168,171.81,157.9157,5.7,0.46,0.0,141.2129,0.0,0.0,0.0,0.0,471.2915,0.0,0.0,0.0,0.0,66.1196,0.0,0.0,0.0,0.016692,187.91,187.7282,3.14,0.0,0.019135,167.3926,166.9368,3.2,0.01,0.018047,272.5753,270.0297,4.92,0.05,0.0,455.3488,0.0,0.0,0.0,0.0,486.5081,0.0,0.0,0.0,0.035166,146.5163,148.2892,5.15,-0.06,0.176545,15.6211,15.7583,2.76,-0.02,0.368245,12.7022,12.8743,4.68,-0.06,0.0,5.4809,0.0,0.0,0.0,0.0,2.3995,0.0,0.0,0.0,0.013768,342.6363,328.2691,4.72,0.2,0.000274,4958.6104,4872.6069,1.36,0.02,0.0,15628.9502,0.0,0.0,0.0,0.000148,30718.0,30728.0586,4.53,-0.0,0.008394,482.4239,473.9404,4.05,0.07,0.0,424.3236,0.0,0.0,0.0,0.008438,482.5172,474.0652,4.07,0.07,0.109841,36.8581,36.721,4.05,0.02,0.055293,70.3528,70.3984,3.89,-0.0,0.0,37.8504,0.0,0.0,0.0,0.047446,78.0625,78.0121,3.7,0.0,0.001608,2036.0999,2048.0469,3.27,-0.02,0.0,72.28,0.0,0.0,0.0,0.136656,22.701,23.0284,3.1,-0.04,1.536715,2.079,2.0856,3.19,-0.01,0.473777,3.8215,3.8812,1.81,-0.03,0.016825,188.61,188.9253,3.17,-0.01,0.0,20.75,0.0,0.0,0.0,0.039261,67.51,70.0699,2.65,-0.1,1.904608,1.0875,1.0838,2.07,0.01,0.019364,146.451,147.1746,2.84,-0.01,0.0,88.0016,0.0,0.0,0.0,0.037962,67.4841,67.7577,2.56,-0.01,0.016491,88.4795,89.1516,1.46,-0.01,0.0,39.1131,0.0,0.0,0.0,4.1e-05,42583.582,42760.8281,1.73,-0.01,0.000458,2289.5461,2290.0759,1.05,-0.0,0.024953,94.4857,95.0819,2.36,-0.01,0.012463,138.1348,134.3596,1.72,0.05,0.000555,55.3243,54.307,0.03,0.0,0.037909,56.464,56.4966,2.14,-0.0,0.0,209.38,0.0,0.0,0.0,0.035081,56.6726,56.1243,1.99,0.02,0.0,23.6266,0.0,0.0,0.0,0.0,82.93,0.0,0.0,0.0
2024-02-04,99.99,0.62,0.0,185.7504,0.0,0.0,0.0,0.004309,398.7805,393.89,1.72,0.02,0.033507,170.31,158.0561,5.71,0.41,0.0,142.5022,0.0,0.0,0.0,0.0,455.8329,0.0,0.0,0.0,0.0,69.2896,0.0,0.0,0.0,0.016878,181.06,187.7302,3.06,-0.11,0.019347,167.1723,166.9418,3.23,0.0,0.018245,271.0019,270.0574,4.94,0.02,0.0,451.5721,0.0,0.0,0.0,0.0,479.576,0.0,0.0,0.0,0.035561,145.7585,148.2695,5.18,-0.09,0.178523,15.8652,15.7568,2.83,0.02,0.372391,12.5176,12.8723,4.66,-0.13,0.0,5.4321,0.0,0.0,0.0,0.0,2.4556,0.0,0.0,0.0,0.013914,341.3545,328.4203,4.75,0.18,0.000277,4942.8105,4873.5352,1.37,0.02,0.0,15597.6797,0.0,0.0,0.0,0.000149,30952.998,30727.9473,4.62,0.03,0.008486,480.6674,474.032,4.08,0.06,0.0,423.7697,0.0,0.0,0.0,0.00853,480.9047,474.1564,4.1,0.06,0.111057,36.9057,36.7225,4.1,0.02,0.055908,69.9783,70.3979,3.91,-0.02,0.0,37.627,0.0,0.0,0.0,0.047972,76.4245,78.0126,3.67,-0.08,0.001626,2025.7,2047.9148,3.29,-0.04,0.0,72.78,0.0,0.0,0.0,0.138196,22.335,23.0248,3.09,-0.1,1.553838,2.082,2.0855,3.24,-0.01,0.479122,3.772,3.8805,1.81,-0.05,0.017012,187.57,188.9218,3.19,-0.02,0.0,20.47,0.0,0.0,0.0,0.039714,68.18,70.0407,2.71,-0.07,1.925693,1.078,1.0838,2.08,-0.01,0.019581,148.501,147.1666,2.91,0.03,0.0,86.2245,0.0,0.0,0.0,0.038386,66.948,67.7547,2.57,-0.03,0.016676,87.6184,89.1441,1.46,-0.03,0.0,39.0147,0.0,0.0,0.0,4.1e-05,42658.6719,42758.8711,1.75,-0.0,0.000463,2298.8889,2290.0701,1.07,0.0,0.025231,94.0966,95.0753,2.37,-0.02,0.012598,138.2165,134.3999,1.74,0.05,0.000561,55.0274,54.318,0.03,0.0,0.03833,56.206,56.4963,2.15,-0.01,0.0,206.63,0.0,0.0,0.0,0.035467,56.2045,56.1303,1.99,0.0,0.0,23.3108,0.0,0.0,0.0,0.0,81.4,0.0,0.0,0.0
2024-02-05,100.61,0.22,0.0,187.3537,0.0,0.0,0.0,0.004326,398.6232,393.9091,1.72,0.02,0.03363,169.15,158.1011,5.69,0.37,0.0,142.9188,0.0,0.0,0.0,0.0,451.1794,0.0,0.0,0.0,0.0,68.1813,0.0,0.0,0.0,0.016947,185.1,187.7028,3.14,-0.04,0.019423,167.7471,166.9427,3.26,0.02,0.018317,272.1623,270.0611,4.99,0.04,0.0,455.2696,0.0,0.0,0.0,0.0,486.9276,0.0,0.0,0.0,0.035705,147.8729,148.2594,5.28,-0.01,0.179228,16.4561,15.7572,2.95,0.13,0.373912,12.7162,12.8709,4.75,-0.06,0.0,5.3869,0.0,0.0,0.0,0.0,2.4869,0.0,0.0,0.0,0.013968,346.4817,328.4696,4.84,0.25,0.000278,4954.23,4873.8052,1.38,0.02,0.0,15609.0,0.0,0.0,0.0,0.00015,31116.998,30728.832,4.66,0.06,0.008519,482.0629,474.0579,4.11,0.07,0.0,422.9191,0.0,0.0,0.0,0.008563,482.2064,474.1827,4.13,0.07,0.111496,37.7449,36.7232,4.21,0.11,0.056131,70.4089,70.3962,3.95,0.0,0.0,37.7047,0.0,0.0,0.0,0.048167,77.4517,78.0062,3.73,-0.03,0.001632,2034.4999,2047.8259,3.32,-0.02,0.0,73.31,0.0,0.0,0.0,0.138762,22.393,23.022,3.11,-0.09,1.560022,2.009,2.0855,3.13,-0.12,0.48108,3.7825,3.88,1.82,-0.05,0.01708,188.55,188.9164,3.22,-0.01,0.0,20.51,0.0,0.0,0.0,0.039876,68.81,70.0331,2.74,-0.05,1.933385,1.0742,1.0838,2.08,-0.02,0.019658,148.64,147.1718,2.92,0.03,0.0,87.0672,0.0,0.0,0.0,0.03854,67.2623,67.7515,2.59,-0.02,0.016743,88.0906,89.138,1.47,-0.02,0.0,39.1412,0.0,0.0,0.0,4.1e-05,43084.6719,42758.4766,1.78,0.01,0.000465,2372.2019,2290.105,1.1,0.04,0.025333,94.7452,95.0714,2.4,-0.01,0.012647,138.2346,134.4146,1.75,0.05,0.000563,55.4026,54.3208,0.03,0.0,0.038483,55.588,56.4951,2.14,-0.03,0.0,208.58,0.0,0.0,0.0,0.035608,56.1109,56.1306,2.0,-0.0,0.0,24.1267,0.0,0.0,0.0,0.0,81.56,0.0,0.0,0.0
2024-02-06,100.78,0.08,0.0,187.4626,0.0,0.0,0.0,0.004332,407.0382,393.9157,1.76,0.06,0.033675,170.53,158.1159,5.74,0.42,0.0,144.347,0.0,0.0,0.0,0.0,465.9336,0.0,0.0,0.0,0.0,70.0562,0.0,0.0,0.0,0.016972,187.58,187.699,3.18,-0.0,0.019451,168.0632,166.9439,3.27,0.02,0.018343,274.7487,270.0641,5.04,0.09,0.0,456.6636,0.0,0.0,0.0,0.0,495.2422,0.0,0.0,0.0,0.035756,147.798,148.2588,5.28,-0.02,0.179473,16.2754,15.7582,2.92,0.09,0.374454,12.5141,12.8707,4.69,-0.13,0.0,5.3461,0.0,0.0,0.0,0.0,2.4338,0.0,0.0,0.0,0.013987,350.5243,328.494,4.9,0.31,0.000278,4995.0601,4873.918,1.39,0.03,0.0,15756.6396,0.0,0.0,0.0,0.00015,30976.0,30729.377,4.64,0.04,0.008531,486.0835,474.0691,4.15,0.1,0.0,427.2711,0.0,0.0,0.0,0.008575,486.1212,474.194,4.17,0.1,0.111651,37.7926,36.7247,4.22,0.12,0.056212,70.3715,70.3962,3.96,-0.0,0.0,37.9863,0.0,0.0,0.0,0.048236,77.3407,78.0054,3.73,-0.03,0.001634,2035.2,2047.8065,3.33,-0.02,0.0,73.86,0.0,0.0,0.0,0.138966,22.278,23.021,3.1,-0.1,1.562339,1.967,2.0854,3.07,-0.19,0.481786,3.7375,3.8799,1.8,-0.07,0.017104,188.5,188.9159,3.22,-0.01,0.0,20.33,0.0,0.0,0.0,0.039934,69.42,70.0313,2.77,-0.02,1.936176,1.0757,1.0838,2.08,-0.02,0.019686,147.818,147.1739,2.91,0.01,0.0,86.6459,0.0,0.0,0.0,0.038595,67.1328,67.7508,2.59,-0.02,0.016767,87.9332,89.1365,1.47,-0.02,0.0,39.2208,0.0,0.0,0.0,4.1e-05,44318.2227,42758.9414,1.83,0.06,0.000466,2423.7451,2290.2183,1.13,0.06,0.025369,94.7174,95.0709,2.4,-0.01,0.012664,138.035,134.4199,1.75,0.05,0.000564,55.2623,54.3223,0.03,0.0,0.038539,55.93,56.4938,2.16,-0.02,0.0,211.92,0.0,0.0,0.0,0.035659,56.1577,56.1306,2.0,0.0,0.0,24.1794,0.0,0.0,0.0,0.0,85.17,0.0,0.0,0.0
2024-02-07,100.76,0.03,0.0,186.3838,0.0,0.0,0.0,0.004334,407.0972,393.9223,1.76,0.06,0.033692,169.84,158.1218,5.72,0.39,0.0,144.7139,0.0,0.0,0.0,0.0,466.3404,0.0,0.0,0.0,0.0,69.5984,0.0,0.0,0.0,0.016981,189.56,187.699,3.22,0.03,0.019461,167.4597,166.9444,3.26,0.01,0.018353,271.7043,270.0665,4.99,0.03,0.0,453.0551,0.0,0.0,0.0,0.0,495.9097,0.0,0.0,0.0,0.035775,146.3198,148.2586,5.23,-0.07,0.179563,16.0752,15.7584,2.89,0.06,0.374653,12.5107,12.8705,4.69,-0.13,0.0,5.2778,0.0,0.0,0.0,0.0,2.4141,0.0,0.0,0.0,0.013993,350.0313,328.5047,4.9,0.3,0.000279,4997.9102,4873.9795,1.39,0.03,0.0,15793.71,0.0,0.0,0.0,0.00015,31064.002,30729.5039,4.66,0.05,0.008535,486.2982,474.0752,4.15,0.1,0.0,428.0623,0.0,0.0,0.0,0.00858,486.4418,474.2,4.17,0.11,0.111707,37.5828,36.7252,4.2,0.1,0.056241,70.2498,70.3962,3.95,-0.01,0.0,37.8407,0.0,0.0,0.0,0.048262,77.97,78.0051,3.76,-0.0,0.001635,2032.1998,2047.8002,3.32,-0.03,0.0,76.22,0.0,0.0,0.0,0.13904,22.565,23.0206,3.14,-0.06,1.563195,1.917,2.0854,3.0,-0.26,0.482045,3.7055,3.8798,1.79,-0.08,0.017113,188.33,188.9157,3.22,-0.01,0.0,20.65,0.0,0.0,0.0,0.039955,71.52,70.031,2.86,0.06,1.937184,1.0776,1.0838,2.09,-0.01,0.019696,148.086,147.1742,2.92,0.02,0.0,86.1421,0.0,0.0,0.0,0.038616,66.9572,67.7505,2.59,-0.03,0.016776,87.6462,89.1358,1.47,-0.02,0.0,39.6235,0.0,0.0,0.0,4.1e-05,45301.5664,42759.7188,1.87,0.11,0.000466,2419.9065,2290.2834,1.13,0.06,0.025382,96.339,95.0707,2.45,0.03,0.012671,139.7862,134.4217,1.77,0.07,0.000564,55.2591,54.3228,0.03,0.0,0.038559,55.853,56.4935,2.15,-0.02,0.0,209.22,0.0,0.0,0.0,0.035677,56.0079,56.1306,2.0,-0.0,0.0,24.1881,0.0,0.0,0.0,0.0,87.87,0.0,0.0,0.0
2024-02-08,101.22,0.01,0.0,187.1468,0.0,0.0,0.0,0.004335,413.4281,393.9247,1.79,0.08,0.033697,174.45,158.1239,5.88,0.55,0.0,147.7786,0.0,0.0,0.0,0.0,464.4651,0.0,0.0,0.0,0.0,72.089,0.0,0.0,0.0,0.016984,193.57,187.6993,3.29,0.1,0.019465,167.6609,166.9445,3.26,0.01,0.018356,272.3447,270.0669,5.0,0.04,0.0,452.6794,0.0,0.0,0.0,0.0,494.1266,0.0,0.0,0.0,0.035781,146.6566,148.2582,5.25,-0.06,0.179596,16.6123,15.7585,2.98,0.15,0.374725,12.448,12.8704,4.66,-0.16,0.0,5.2078,0.0,0.0,0.0,0.0,2.3871,0.0,0.0,0.0,0.013996,357.3277,328.5085,5.0,0.4,0.000279,5026.6099,4874.002,1.4,0.04,0.0,15990.6602,0.0,0.0,0.0,0.00015,31156.0,30729.5664,4.67,0.06,0.008537,489.1087,474.0774,4.18,0.13,0.0,432.2757,0.0,0.0,0.0,0.008581,489.2589,474.2023,4.2,0.13,0.111728,37.7449,36.7254,4.22,0.11,0.056251,70.4932,70.3962,3.97,0.01,0.0,37.9475,0.0,0.0,0.0,0.048271,78.0903,78.0051,3.77,0.0,0.001636,2023.3,2047.7971,3.31,-0.04,0.0,76.84,0.0,0.0,0.0,0.139067,22.528,23.0205,3.13,-0.07,1.563513,1.847,2.0853,2.89,-0.37,0.482139,3.686,3.8798,1.78,-0.09,0.017117,187.6,188.9156,3.21,-0.02,0.0,20.68,0.0,0.0,0.0,0.039962,71.67,70.0313,2.86,0.07,1.937548,1.0777,1.0838,2.09,-0.01,0.019699,149.259,147.1744,2.94,0.04,0.0,85.968,0.0,0.0,0.0,0.038623,66.9017,67.7503,2.58,-0.03,0.016779,87.4888,89.1356,1.47,-0.03,0.0,39.0147,0.0,0.0,0.0,4.1e-05,47147.1992,42760.168,1.95,0.18,0.000466,2487.5156,2290.3062,1.16,0.09,0.025387,94.3004,95.071,2.39,-0.02,0.012673,137.046,134.4227,1.74,0.03,0.000564,55.2297,54.323,0.03,0.0,0.038566,56.132,56.4934,2.16,-0.01,0.0,209.2,0.0,0.0,0.0,0.035684,55.7552,56.1306,1.99,-0.01,0.0,24.1794,0.0,0.0,0.0,0.0,90.72,0.0,0.0,0.0
2024-02-09,101.25,0.01,0.0,187.1468,0.0,0.0,0.0,0.004335,413.4281,393.9259,1.79,0.08,0.033699,174.45,158.1249,5.88,0.55,0.0,147.7786,0.0,0.0,0.0,0.0,464.4651,0.0,0.0,0.0,0.0,72.089,0.0,0.0,0.0,0.016985,193.57,187.6997,3.29,0.1,0.019465,167.6609,166.9445,3.26,0.01,0.018356,272.3447,270.0669,5.0,0.04,0.0,452.6794,0.0,0.0,0.0,0.0,494.1266,0.0,0.0,0.0,0.035781,146.6566,148.2582,5.25,-0.06,0.179596,16.6123,15.7585,2.98,0.15,0.374725,12.448,12.8704,4.66,-0.16,0.0,5.2078,0.0,0.0,0.0,0.0,2.3871,0.0,0.0,0.0,0.013996,357.3277,328.5085,5.0,0.4,0.000279,5026.6099,4874.002,1.4,0.04,0.0,15990.6602,0.0,0.0,0.0,0.00015,31156.0,30729.5664,4.67,0.06,0.008537,489.1087,474.0774,4.18,0.13,0.0,432.2757,0.0,0.0,0.0,0.008581,489.2589,474.2023,4.2,0.13,0.111728,37.7449,36.7254,4.22,0.11,0.056251,70.4932,70.3962,3.97,0.01,0.0,37.9475,0.0,0.0,0.0,0.048271,78.0903,78.0051,3.77,0.0,0.001636,2023.3,2047.7971,3.31,-0.04,0.0,76.84,0.0,0.0,0.0,0.139067,22.528,23.0205,3.13,-0.07,1.563513,1.847,2.0853,2.89,-0.37,0.482139,3.686,3.8798,1.78,-0.09,0.017117,187.6,188.9156,3.21,-0.02,0.0,20.68,0.0,0.0,0.0,0.039962,71.67,70.0313,2.86,0.07,1.937548,1.0777,1.0838,2.09,-0.01,0.019699,149.259,147.1744,2.94,0.04,0.0,85.968,0.0,0.0,0.0,0.038623,66.9017,67.7503,2.58,-0.03,0.016779,87.4888,89.1356,1.47,-0.03,0.0,39.0147,0.0,0.0,0.0,4.1e-05,47771.2773,42760.168,1.97,0.21,0.000466,2501.2283,2290.3062,1.17,0.1,0.025387,94.3004,95.071,2.39,-0.02,0.012673,137.046,134.4227,1.74,0.03,0.000564,55.2297,54.323,0.03,0.0,0.038566,56.132,56.4934,2.16,-0.01,0.0,209.2,0.0,0.0,0.0,0.035684,55.7552,56.1306,1.99,-0.01,0.0,24.1794,0.0,0.0,0.0,0.0,90.72,0.0,0.0,0.0
